Title,Film,Year,Singer,Composer,Lyricist,Lyrics
buunden nahiin sitaare tapake hain kahakashaan se,saajan ki saheli,1980,rafi,usha khanna,majrooh, buunden nahiin sitaare tapake hain kahakashaan se sadake utar rahe hain tum par ye aasmaan se buunden nahiin sitaare tapake hain kahkashaan se	motii ke rang rut ke qatare damak rahe hain yaa reshamii laton men juganuu chamak rahe hain aanchal men jaise bijalii kaunde yahaan vahaan se sadake utar rahe hain tum par ye aasmaan se	dekhe to koii aalam bhiige se pairahan kaa paanii men hai ye shulaa yaa nuur hai badan kaa angadaaii le rahe hain aramaan javaan javaan se sadake utar rahe hain tum par ye aasmaan se	pahaluu men aake mere kyaa chiiz lag rahii ho baahon ke daayare men tasviir lag rahii ho hairaan huun ke tumako dekhuun kahaan kahaan se sadake utar rahe hain tum par ye aasmaan se	buunden nahiin sitaare tapake hain kahakashaan se sadake utar rahe hain tum par ye aasmaan se buunden nahiin sitaare tapake hain kahkashaan se
ladakaa main gariib kaa dil kaa huun amiir  kahate hain sab mujhako shuuraviir,shoorveer,1988,kavita subramaniam mohammed aziz,laxmikant pyarelal,s h bihari, ladakaa main gariib kaa dil kaa huun amiir khuun se likhataa huun main duniyaa kii taqadiir isiilie to kahate hain sab mujhako shuuraviir ladakaa main gariib kaa	vo dil hii kyaa jisamen koii tuufaan nahiin gairat jo apanii bech de insaan hii nahiin phirataa huun apane sar se baandhe hue kafan tod detaa huun nigaahon se main lohe kii zanjiir isiilie to kahate hain	duniyaa men mat kisii kii bhii puunjii churaa ke jii kuchh kaam kar diivaane pasiinaa bahaa ke jii siikh le mujhase duniyaa men tuu jiine kii adaa raajaaon kii shaan hai lekin lagataa huun fakiir isiilie to kahate hain	likhaa hai kyaa nasiib men kisako ye pataa kismat pe apanii jisane bharosaa kiyaa meraa kismat banaane vaale ne ye bhii to hai kahaa do rotii ke vaaste gharatii kaa siinaa chiir isiilie to kahate hain	
kaise kaise log hamaare jii ko jalaane aa jaate hain,the finest ghazals of mehdi hassan nonfilm,1985,mehdi hasan,hasan latif lilak,munir niyazi,	kaise kaise log hamaare jii ko jalaane aa jaate hain apane apane gam ke fasaane hamen sunaane aa jaate hain	mere liye ye gair hain aur main inake liye begaanaa huun phir bhii ye ek rasmejahaan hai jise nibhaane aa jaate hain	inase alag main rah nahiin sakataa is bedard zamaane men merii ye majaburii mujhako yaad dilaane aa jaate hain	sabakii sun kar chup rahate hain dil kii baat nahiin kahate aate aate jiine ke bhii laakh bahaane aa jaate hain 
nazar ne nazar se kyaa kahaa  merii jaan ye bataa,sultanat,1986,,kalyanji anandji,anjaan hasan kamaal, nazar ne nazar se kyaa kahaa merii jaan merii jaan ye bataa kahuun kyaa nazar ne kyaa kahaa aatii hai mujhako hayaa jo hai mere dil men vahii tere dil men ek baar kah de tuu haan nazar ne nazar se kyaa kahaa	ho jaage hain aramaan jaan le jaanejaan are jaanuun naa	ho jaage hain aramaan jaan le jaanejaan are jaanuun naa	ho jaage hain aramaan jaan le jaanejaan are jaanuun naa	kar de ek ehasaan maan le jaanejaan maanuun naa pahale vafaa kaa ikaraar kar le haazir hai phir merii jaan nazar ne nazar se kyaa kahaa	vaadaa kar ye haath se haath chhuute naa naa chhuutegaa	vaadaa kar ye haath se haath chhuute naa naa chhuutegaa	vaadaa kar ye haath se haath chhuute naa naa chhuutegaa	saath rahen din raat saath ye chhuute naa naa chhuutegaa ulfat men terii chaahat men terii thukaraa duun saaraa jahaan nazar ne nazar se kyaa kahaa	
isase pahale ki yaad tuu aae  main teraa shahar chhod,nazraanaa,1987,kishore,laxmikant pyarelal,anand bakshi,	isase pahale ki yaad tuu aae merii aankhon men phir lahuu aae tujhase rishtaa main tod jaauungaa main teraa shahar chhod jaauungaa isase pahale ki	mujhako gam terii judaaii kaa ranj hai apanii nazaron se gir gayaa huun main isase pahale ki tuu mujhe chhode mujhako thukaraae meraa dil tode apanaa dil main kud tod jaauungaa main teraa shahar	teraa muzarim main teraa harajaaii saath le jaauungaa ye rusavaaii daag daaman se ye mitaa duungaa kud ko itanii badii sazaa duungaa isase pahale ki log taane den tere aansuu na mujhako aane den ye taalluk main tod jaauungaa main teraa shahar	haan meraa intazaar to hogaa ab bhii kuchh aitabaar to hogaa tuu khulaa chhod degii daravaazaa par galat hai ye teraa andaazaa isase pahale ki aah dil bhar de sab gunaahon ko maaf tuu kar de ye bharam bhii main tod jaauungaa main teraa shahar	
kabhii palakon pe aansuu hain kabhii lab pe shikaayata hai,harjaaee,1981,kishore,r d burman,nida fazli, kabhii palakon pe aansuu hain kabhii lab pe shikaayata hai	magara ai zindagii phira bhii mujhe tujhase mohabbata hai	magara ai zindagii phira bhii mujhe tujhase mohabbata hai	kabhii palakon pe aansuu hain	jo aataa hai vo jaataa hai ye duniyaa aaniijaanii hai yahaan hara shay musaaphira hai safara men zindagaanii hai ujaalon kii zaruurata hai andheraa merii kismata hai kabhii palakon pe aansuu hain kabhii lab pe shikaayata hai	magara ai zindagii phira bhii mujhe tujhase mohabbata hai	zaraa ai zindagii dama le teraa diidaara to kara luun kabhii dekhaa nahiin jisako use main pyaara to kara luun abhii se chhoda ke mata jaa abhii terii zaruurata hai kabhii palakon pe aansuu hain kabhii lab pe shikaayata hai	magara ai zindagii phira bhii mujhe tujhase mohabbata hai	koi anajaana saa cheharaa ubharataa hai fizaaon men ye kisakii aahaten jaagiin merii kaamosha raahon men abhii ai mauta mata aanaa meraa viiraanaa jannata hai kabhii palakon pe aansuu hain kabhii lab pe shikaayata hai	magara ai zindagii phira bhii mujhe tujhase mohabbata hai	
jingle bells  raat christmas kii thii,nonfilmdil padosi hai,1987,asha chorus,r d burman,gulzar, ko	jingle bells jingle bells jingle all the way	o what fun it is to ride in a onehorse open sleigh	o what fun it is to ride in a onehorse open sleigh	aa raat christmas kii thii ko raat christmas kii thii	aa raat christmas kii thii ko raat christmas kii thii	aa raat christmas kii thii ko zu zu zu zu zu zu aa ho naa tere bas kii thii	naa mere bas kii thii	aa haa haa	raat christmas	ko ru ru ru	aa	chaand pedon pe thaa	aur main giraje men thii	aur main giraje men thii	tuu ne lab chhuu liye	jab main sajade men thii	jab main sajade men thii	kaise bhuuluungii main	wo ghadii gash kii thii	naa tere bas	raat christmas	tum akele na the	main bhii tanhaa na thii	main bhii tanhaa na thii	mujhamen sab kauf the	tumako parawaa na thii	tumako parawaa na thii	tum to kamasiin na the	main bhii unniis kii thii	naa tere bas	raat christmas	kuubsuurat thii wo	umrejajbaat kii	umrejajbaat kii	zindagii de gaii	raat kairaat kii	raat kairaat kii	kyaa galat kyaa sahii	marzii jesus kii thii ko laa laa laa laa aa marzii jesus kii thii ko raat christmas kii thii aa marzii jesus kii thii
khudaa hii judaa kare to kare,aap to aise na the,1980,kishore rafi,usha khanna,indeevar, khudaa hii judaa kare to kare koii taakat judaa hamako nahiin kar paaegii kamasin ho hasiinaa ho vo husn kaa chaahe nagiinaa ho ho koii suurat judaa hamako nahiin kar paaegii khudaa hii	ham khuubiyon ke bhii aashiq ham goriyaan ke bhii shaidaa	ek duusare ke liye hii hamen rab ne kiyaa jaise paidaa vo chaahe rakhe amiirii men vo chaahe rakhe fakiirii men ho koii haalat judaa hamako nahiin kar paaegii khudaa hii	bhuule se koii parii jo ham donon ko bhaane lagegii vo biich men do dilon ke kabhii diivaar ban naa sakegii ham tere liye to jahaan chhod den pariyaan to kyaa ham jaan chhod den ho puurii jannat judaa hamako nahiin kar paaegii khudaa hii	hamapyaalaa aur hamanivaalaa hamaraahii hamaraaz hamadam ham jo giren thaamanaa tum tum jo giro thaamenge ham tuufaan ho chaahe kinaaraa ho ek duusare kaa sahaaraa ho ho koi aagat judaa hamako nahiin kar paaegii khudaa hii 
jo chaahe kahe duniyaa  allaah re is dil ne,the loves of runa laila nonfilm,1987,runa laila,o p nayyar,noor dewasi,	jo chaahe kahe duniyaa jiine kaa mazaa lenge mar ke bhii jahaan waalo bas ye hii sadaa denge	allaah re is dil ne kyaa chiiz pasand kii hai dikhane men to titalii hai chhuute hain to bijalii hai	andaazebayaan usakaa kyaa phuul barasate hain aankhon men nashaa wo hai jazbaat ubharate hain ab kaise kahen tumase dil hai to ye zindagii hai	chaahaa hai use jabase betaab huye tabase jaarii hai duaa lab se maangaa hai use rab se ye aaj muhabbat ne aawaaz buland kii hai 
ai sun sun sun diidii tere lie ik rishtaa aayaa hai,khoobsoorat,1980,asha,r d burman,gulzar,	ai sun sun sun diidii tere lie ik rishtaa aayaa hai	ai sun sun sun diidii tere lie ik rishtaa aayaa hai	sun sun sun ladake men kyaa gun sun sun diidii sun he sun sun sun diidii tere lalaalaa uii laalaa raa laalaa areare lagataa hai naa diidii	achchhe ghar kaa ladakaa hai par hakhakalaataa hai pa pa pyaarii manjuu zaraa paa paa paas to aa achchhe ghar kaa ladakaa hai par hakhakalaataa hai munh par daag chechak ke aur paan chabaataa hai paan chabaataa hai jab thodii pii kar aataa hai	achchhe ghar kaa ladakaa hai par hakhakalaataa hai pa pa pyaarii manjuu zaraa paa paa paas to aa achchhe ghar kaa ladakaa hai par hakhakalaataa hai munh par daag chechak ke aur paan chabaataa hai paan chabaataa hai jab thodii pii kar aataa hai	piitaa hai jab juen men vo haar jaataa hai taash bhii roz kahaan bas kabhiikabhii hii hotii hai achchhaa daakaa pade tabhii to rummy hotii hai roz kahaan aisaa hotaa hai daake padate hain aadhe din to bechaare ke jel men katate hain sun sun sun ladake men	usakaa bas chale to jel bhii tod ke aaegaa siitii ek bajaa dogii to daud ke aaegaa saas zaraa kam sunatii hai par bolatii uunchaa hai sasuraa tez bhii sunataa hai par munh se guungaa hai sun sun sun ladake men	la la laa laalaa are lagataa hai diidii 
man kare yaad wo din,aakhiri badlaa,1989,kishore,salil chowdhury,yogesh,	man kare yaad wo din tere sang biite the jo pal rangiin tere sang dekhe the jo sapane hasiin sthaayii	kabhii chhaanv men ham chale jale dhuup men bhi ham tum saath men kabhii saathsaath bhiige barasaat men kabhii to pataa naa chalaa din jaane kaise dhalaa kabhiikabhii raat kaatii taare gingin	bahaaron kii dolii liye kitanaa bhii chaahe ye mausam saje tere bin basant bhii ye patajhad lage sinduurii ye maang bhare paanvon men mahaavar male dulhan jaisii saanjh bhii ye dase tere bin	bahaaron kii dolii liye kitanaa bhii chaahe ye mausam saje tere bin basant bhii ye patajhad lage sinduurii ye maang bhare paanvon men mahaavar male dulhan jaisii saanjh bhii ye dase tere bin	
dhadakan palpal badhatii jaae,arjun,1985,asha,r d burman,majrooh, he he he he	dhadakan palpal badhatii jaae chupakechupake ye samajhaae raat dhalii terii galii koii aane vaalaa hai kaun hai ye main jaanuun naa dhadakan palpal badhatii jaae	ho badan men nashaa jaise bahane lagaa hai koii mere kaanon men kahane lagaa hai raat dhalii terii galii koii	are kahaan aaj roke se maanegaa koii har ek raaz is dil kaa jaanegaa koii raat dhalii terii galii koii	haay machalate hain aramaan fizaa gaa rahii hai kahiin se mujhe ye sadaa aa rahii hai raat dhalii terii galii koii 
janam janam kaa hai ye naataa teraa meraa saajanaa,amar jyoti,1984,asha,jaidev,naqsh lyallpuri, janam janam kaa hai ye naataa teraa meraa saajanaa saath kabhii na chhuute pyaar kabhii na tuute baalamaa	banake sharmiilii dulhanen sajdhajake bahaaren aaengiin miithiimiithii sii kushabuu se man kii bagiyaa mahakaaengiin bas giit yahii duharaaengiin amar rahegaa pyaar apanaa	main saritaa tuu saagar hai main badarii tuu saavan hai main chhavi huun sundar sapanon kii tuu aashaaon kaa darpan hai tuu maajhii main naiyaa terii ye pyaar banaa patavaar apanaa	hai priit madhur sii raaginii jiivan biinaa ke taar kii jo dekhii tere nainon men hai amar vo jyoti pyaar kii is paar kabhii us paar kabhii huaa milan sau baar apanaa
aavaaz dii hai aaj ik nazar ne yaa hai ye dil ko gumaan,aitbaar,1985,asha bhupinder,bappi lahiri,hasan kamaal faruq kaisar, bhu aavaaz dii hai aaj ik nazar ne yaa hai ye dil ko gumaan doharaa rahii hain jaise fazaayen bhuulii huii daastaan	aa laut aaii hain phir ruuthii bahaaren kitanaa hasiin hai jahaan duniyaa se kah do na hamako pukaare ham kho gae hain yahaan	bhu jiivan men kitanii kaamoshiyaan thiin chhaaii huii thii udaasii sunake kisii ke qadamon kii aahat halachal huii hai zaraa sii	bhu jiivan men kitanii kaamoshiyaan thiin chhaaii huii thii udaasii sunake kisii ke qadamon kii aahat halachal huii hai zaraa sii	saagar men jaise laharen uthii hain tuutii hain kaamoshiyaan	aa duniyaa se kah do	aa tuufaan men khoii kashtii ko aakir mil hii gayaa phir kinaaraa ham chhod aae kaabon kii duniyaa dil ne tere jab pukaaraa	aa tuufaan men khoii kashtii ko aakir mil hii gayaa phir kinaaraa ham chhod aae kaabon kii duniyaa dil ne tere jab pukaaraa	kab se khadii thii baahen pasaare is dil kii tanhaaiyaan duniyaa se kah do	bhu ab yaad aayaa kitanaa adhuuraa ab tak thaa dil kaa fasaanaa aa yuun paas aake dil men samaake daaman na hamase chhudaanaa	bhu ab yaad aayaa kitanaa adhuuraa ab tak thaa dil kaa fasaanaa aa yuun paas aake dil men samaake daaman na hamase chhudaanaa	jin raaston par tere qadam hon ai dil hain merii vahaan duniyaa se kah do 
ik roz main tadapake is dil ko thaam luungaa,bemisaal,1982,kishore,r d burman,anand bakshi, ik roz main tadapake is dil ko thaam luungaa	mere hasiin kaatil main tera naam luungaa	haan tera naam luungaa main tera naam luungaa	ik roz	tune mujhe jagaayaa sone na duungaa tujhako	hansane na duungaa tujhako rone na duungaa tujhako	koi payaam luungaa koi payaam duungaa	mere hasiin kaatil main tera naam luungaa	teri kasam na kuchh bhi tujhase chhupaauungaa main	har baat apane dil kii tujhako sunaauungaa main	lekin zubaan ke badale aankhon se thaam luungaa	mere hasiin kaatil main tera naam luungaa	haasil na hogii tujhako aisii meri mohabbat	chaahat kii yaar tujhako denii padegii kiimat	saudaa na muft hogaa main dil ke daam luungaa	mere hasiin kaatil main tera naam luungaa	
mujhe tum yaad karanaa aur mujh ko yaad aanaa tum,mashaal,1984,kishore lata,hridaynath,, mujhe tum yaad karanaa aur mujh ko yaad aanaa tum mai ik din laut aauungaa ye mat bhuul jaanaa tum	akelii hogii tum dekho kahiin aisaa naa ho jaae jo ab hothon pe hai musakaan vo musakaan kho jaae zaraa logon se milanaa tum zaraa hansanaa hansaanaa tum mai ik din laut	agar ladakii tumhen koii mile jo khuubasuurat ho tumhaarii dostii kii shaayad usako bhii zaruurat ho agar vo paas aaye muskuraaye muskuraanaa tum magar tum laut ke aaoge ye mat bhuul jaanaa tum
tuu bhii beqaraar main bhii beqaraar  tujhe chhuunaa chaahe saanson ke taar,waqt ki aawaaz,1988,mohammed aziz asha,bappi lahiri,indivar, tuu bhii beqaraar main bhii beqaraar	 tuu bhii beqaraar main bhii beqaraar	tujhe chhuunaa chaahe saanson ke taar hotaa nahiin hamase aur intazaar tuu bhii beqaraar main bhii	baahon men terii simatane ko betaab mere aramaan kab se siine se tere lipatane ko bechain yah jismojaan kab se rahaa nahiin khud pe mujhe iktiyaar tuu bhii beqaraar main bhii	sau suuraj kii aab lie hai cheharaa hai vo gulaab teraa taab kahaan insaan men itanii dekh sake jo shabaab teraa teraa husn qudarat kaa ek shaahakaar tuu bhii beqaraar main bhii	
ye dil ye paagal dil meraa kyon bujh gayaa aavaaragii,maati maange khoon,1984,ghulam ali,r d burman,anand bakshi, ye dil ye paagal dil meraa kyon bujh gayaa aavaaragii	is dasht men ik shahar thaa vo kyaa huaa aavaaragii	kal shab mujhe beshakl sii aavaaz ne chaunkaa diyaa	main ne kahaa tuu kaun hai usane kahaa aavaaragii	ik ajanabii jhonke ne jab puuchhaa mere gam kaa sabab	saharaa kii bhiiigii ret par main ne likhaa aavaaragii 
ham chup hain ki dil sun rahe hain dhadakanon ko,faasale,1985,kishor lata,shiv hari,shaharyar,	la	ham chup hain ki dil sun rahe hain	dhadakanon ko aahaton ko	saansen ruk sii gaii hain do	ham chup hain	ki	dekho ab duniyaa ko gaur se	pahale se naii pahale se hasiin la	ham tumako milanaa thaa mil gae	kyaa ye aasamaan kaun ye zamiin	ham jo dekhen tumako dekh	saansen ruk sii gaii hain do	ham chup hain	ki	lafzon men jinako naa kah sake	aankhon se kahen honthon se sunen la	kushbuu ke saae men baith ke	phuul ham chunen kvaab ham bunen	isake aage kuchh naa sochen	saansen ruk sii gaii hain do	ham chup hain	
kabhii kahaa na kisii se tere fasaane ko,kashish nonfilm,1988,asha,nazar hussain,qamar jalalvi, kabhii kahaa na kisii se tere fasaane ko na jaane kaise kabar ho gaii zamaane ko	sunaa hai gair kii mahafil men tum na jaaoge kaho to aaj sajaa luun gariibakhaane ko	duaa bahaar kii maangii to itane phuul khile kahiin	jagah	na	milii mere aashiyaane ko	ab aage is men	tumahaaraa	bhii naam aae gaa jo hukam ho to yahiin chhod duun fasaane ko	qamar zaraa bhii nahiin tum ko kauferusavaaii chale ho chaandanii shab men unhen bulaane ko
